best_auc,best_auc_threshold,best_f1_score,best_f1_score_threshold,_total,_tot_anomaly,_tot_normal,_tpr_recall,_precision,_accuracy,_f1_score,_fnr,_tnr,_fpr,_t_pos,_f_pos,_f_neg,_t_neg,_auc,total,tot_anomaly,tot_normal,tpr_recall,precision,accuracy,f1_score,fnr,tnr,fpr,t_pos,f_pos,f_neg,t_neg,auc,time_to_fit
0.9637,1.3906449816042097,0.9627577716220376,1.3906449816042097,10000,5000,5000,0.9384,0.9884137349905203,0.9637,0.9627577716220376,0.0616,0.989,0.011,4692,55,308,4945,0.9637,10000,5000,5000,0.9384,0.9884137349905203,0.9637,0.9627577716220376,0.0616,0.989,0.011,4692,55,308,4945,0.9637,101.53794344000016
0.9536,1.3932805580140966,0.9518871837411861,1.3932805580140966,10000,5000,5000,0.918,0.9883720930232558,0.9536,0.9518871837411861,0.082,0.9892,0.0108,4590,54,410,4946,0.9536,10000,5000,5000,0.918,0.9883720930232558,0.9536,0.9518871837411861,0.082,0.9892,0.0108,4590,54,410,4946,0.9536,51.71564999200018
0.9486000000000001,1.3883014803723353,0.9465807524423198,1.3883014803723353,10000,5000,5000,0.9108,0.9852877542189529,0.9486,0.9465807524423198,0.0892,0.9864,0.0136,4554,68,446,4932,0.9486000000000001,10000,5000,5000,0.9108,0.9852877542189529,0.9486,0.9465807524423198,0.0892,0.9864,0.0136,4554,68,446,4932,0.9486000000000001,44.704622084999755
0.9742999999999999,1.3918998316111284,0.9739165736323963,1.3918998316111284,10000,5000,5000,0.9596,0.988666804038739,0.9743,0.9739165736323963,0.0404,0.989,0.011,4798,55,202,4945,0.9742999999999999,10000,5000,5000,0.9596,0.988666804038739,0.9743,0.9739165736323963,0.0404,0.989,0.011,4798,55,202,4945,0.9742999999999999,63.16327761199955
0.9559000000000001,1.3951921800668017,0.9559220389805096,1.3951921800668017,10000,5000,5000,0.9564,0.9554445554445554,0.9559,0.9559220389805096,0.0436,0.9554,0.0446,4782,223,218,4777,0.9559000000000001,10000,5000,5000,0.9564,0.9554445554445554,0.9559,0.9559220389805096,0.0436,0.9554,0.0446,4782,223,218,4777,0.9559000000000001,53.762080636000064
0.9553,1.4037005343637983,0.9552776388194097,1.4037005343637983,10000,5000,5000,0.9548,0.9557557557557558,0.9553,0.9552776388194097,0.0452,0.9558,0.0442,4774,221,226,4779,0.9553,10000,5000,5000,0.9548,0.9557557557557558,0.9553,0.9552776388194097,0.0452,0.9558,0.0442,4774,221,226,4779,0.9553,52.500006090999705
0.9775999999999999,1.3853464562768971,0.9772079772079773,1.3853464562768971,10000,5000,5000,0.9604,0.9946147473073736,0.9776,0.9772079772079773,0.0396,0.9948,0.0052,4802,26,198,4974,0.9775999999999999,10000,5000,5000,0.9604,0.9946147473073736,0.9776,0.9772079772079773,0.0396,0.9948,0.0052,4802,26,198,4974,0.9775999999999999,70.62424769799964
0.9697,1.393367035454957,0.9691916624300967,1.393367035454957,10000,5000,5000,0.9532,0.9857290589451914,0.9697,0.9691916624300967,0.0468,0.9862,0.0138,4766,69,234,4931,0.9697,10000,5000,5000,0.9532,0.9857290589451914,0.9697,0.9691916624300967,0.0468,0.9862,0.0138,4766,69,234,4931,0.9697,52.86642043000029
0.9692,1.3895400551496206,0.9689014539579968,1.3895400551496206,10000,5000,5000,0.9596,0.9783849918433931,0.9692,0.9689014539579968,0.0404,0.9788,0.0212,4798,106,202,4894,0.9692,10000,5000,5000,0.9596,0.9783849918433931,0.9692,0.9689014539579968,0.0404,0.9788,0.0212,4798,106,202,4894,0.9692,50.87110161000055
0.9587000000000001,1.3848246935120705,0.9569746848630065,1.3848246935120705,10000,5000,5000,0.9186,0.9986953685583823,0.9587,0.9569746848630065,0.0814,0.9988,0.0012,4593,6,407,4994,0.9587000000000001,10000,5000,5000,0.9186,0.9986953685583823,0.9587,0.9569746848630065,0.0814,0.9988,0.0012,4593,6,407,4994,0.9587000000000001,77.44024945299952
0.8952,1.396368542059538,0.9019827908716797,1.396368542059538,10000,5000,5000,0.9644,0.8471539002108222,0.8952,0.9019827908716797,0.0356,0.826,0.174,4822,870,178,4130,0.8952,10000,5000,5000,0.9644,0.8471539002108222,0.8952,0.9019827908716797,0.0356,0.826,0.174,4822,870,178,4130,0.8952,41.368910391999634
0.9608,1.388748849890344,0.9596292481977343,1.388748849890344,10000,5000,5000,0.9318,0.989171974522293,0.9608,0.9596292481977343,0.0682,0.9898,0.0102,4659,51,341,4949,0.9608,10000,5000,5000,0.9318,0.989171974522293,0.9608,0.9596292481977343,0.0682,0.9898,0.0102,4659,51,341,4949,0.9608,67.06302411200068
0.8938999999999999,1.3983726247080384,0.9002725820095874,1.3983726247080384,10000,5000,5000,0.9578,0.8492640539102678,0.8939,0.9002725820095874,0.0422,0.83,0.17,4789,850,211,4150,0.8938999999999999,10000,5000,5000,0.9578,0.8492640539102678,0.8939,0.9002725820095874,0.0422,0.83,0.17,4789,850,211,4150,0.8938999999999999,120.3782907269997
0.9729000000000001,1.392262029210032,0.9725124251952532,1.392262029210032,10000,5000,5000,0.9588,0.9866227618851615,0.9729,0.9725124251952532,0.0412,0.987,0.013,4794,65,206,4935,0.9729000000000001,10000,5000,5000,0.9588,0.9866227618851615,0.9729,0.9725124251952532,0.0412,0.987,0.013,4794,65,206,4935,0.9729000000000001,3.274779436999779
0.9679,1.3901453887879525,0.9673348936603237,1.3901453887879525,10000,5000,5000,0.9506,0.9846695670188523,0.9679,0.9673348936603237,0.0494,0.9852,0.0148,4753,74,247,4926,0.9679,10000,5000,5000,0.9506,0.9846695670188523,0.9679,0.9673348936603237,0.0494,0.9852,0.0148,4753,74,247,4926,0.9679,50.07106571700024
0.9698999999999999,1.387932084436119,0.9692449167262694,1.387932084436119,10000,5000,5000,0.9486,0.99080843952371,0.9699,0.9692449167262694,0.0514,0.9912,0.0088,4743,44,257,4956,0.9698999999999999,10000,5000,5000,0.9486,0.99080843952371,0.9699,0.9692449167262694,0.0514,0.9912,0.0088,4743,44,257,4956,0.9698999999999999,78.30261389200041
